date,close,predict,prob_up,real,correct,ret,equity
2024-11-26,1509.0,跌↓,46.5,涨↑,✗,+0.67%,0.9153
2024-10-30,1532.0,涨↑,68.3,跌↓,✗,-0.27%,0.9128
2024-10-31,1527.79,涨↑,52.2,涨↑,✓,+0.39%,0.9164
2024-11-01,1533.75,跌↓,42.8,涨↑,✗,+0.94%,0.9164
2024-11-04,1548.2,跌↓,35.5,涨↑,✗,+1.86%,0.9164
2024-11-05,1576.99,跌↓,42.9,跌↓,✓,-0.38%,0.9164
2024-11-06,1571.0,涨↑,58.3,涨↑,✓,+4.97%,0.9619
2024-11-07,1649.14,跌↓,49.1,跌↓,✓,-2.38%,0.9619
2024-11-08,1609.97,跌↓,45.8,跌↓,✓,-0.74%,0.9619
2024-11-11,1598.01,跌↓,46.2,跌↓,✓,-1.30%,0.9619
2024-11-12,1577.2,跌↓,40.2,涨↑,✗,+0.08%,0.9619
2024-11-13,1578.5,跌↓,37.4,跌↓,✓,-0.30%,0.9619
2024-11-14,1573.8,跌↓,39.4,跌↓,✓,-0.94%,0.9619
2024-11-15,1559.0,跌↓,46.3,跌↓,✓,+0.00%,0.9619
2024-11-18,1559.0,涨↑,56.5,跌↓,✗,-1.10%,0.9514
2024-11-19,1541.92,涨↑,55.9,涨↑,✓,+0.19%,0.9532
2024-11-20,1544.81,跌↓,43.7,涨↑,✗,+0.02%,0.9532
2024-11-21,1545.13,跌↓,39.3,跌↓,✓,-2.41%,0.9532
2024-11-22,1507.82,跌↓,42.1,跌↓,✓,-0.61%,0.9532
2024-11-25,1498.57,涨↑,57.4,涨↑,✓,+0.70%,0.9598
2024-11-26,1509.0,跌↓,45.4,涨↑,✗,+0.67%,0.9598
2024-11-27,1519.05,跌↓,44.1,跌↓,✓,-0.07%,0.9598
2024-11-28,1518.0,跌↓,44.9,涨↑,✗,+0.51%,0.9598
2024-11-29,1525.74,涨↑,58.2,跌↓,✗,-0.05%,0.9593
2024-12-02,1525.0,涨↑,68.1,涨↑,✓,+0.11%,0.9604
2024-12-03,1526.74,涨↑,60.4,跌↓,✗,-0.44%,0.9562
2024-12-04,1520.0,涨↑,51.0,跌↓,✗,-0.59%,0.9505
2024-12-05,1511.0,涨↑,62.0,涨↑,✓,+0.66%,0.9568
2024-12-06,1521.01,涨↑,51.7,跌↓,✗,-0.15%,0.9554
2024-12-09,1518.8,涨↑,51.3,涨↑,✓,+1.83%,0.9729
2024-12-10,1546.59,跌↓,49.9,跌↓,✓,-0.71%,0.9729
2024-11-13,1578.5,跌↓,43.5,跌↓,✓,-0.30%,0.9729
2024-11-14,1573.8,跌↓,45.5,跌↓,✓,-0.94%,0.9729
2024-11-15,1559.0,涨↑,55.8,跌↓,✗,+0.00%,0.9729
2024-11-18,1559.0,涨↑,61.1,跌↓,✗,-1.10%,0.9623
2024-11-19,1541.92,涨↑,59.2,涨↑,✓,+0.19%,0.9641
2024-11-20,1544.81,涨↑,50.2,涨↑,✓,+0.02%,0.9643
2024-11-21,1545.13,跌↓,45.7,跌↓,✓,-2.41%,0.9643
2024-11-22,1507.82,跌↓,48.1,跌↓,✓,-0.61%,0.9643
2024-11-25,1498.57,涨↑,64.6,涨↑,✓,+0.70%,0.971
2024-11-26,1509.0,涨↑,54.6,涨↑,✓,+0.67%,0.9774
2024-11-27,1519.05,涨↑,53.1,跌↓,✗,-0.07%,0.9768
2024-11-28,1518.0,涨↑,50.3,涨↑,✓,+0.51%,0.9818
2024-11-29,1525.74,涨↑,58.7,跌↓,✗,-0.05%,0.9813
2024-12-02,1525.0,涨↑,66.1,涨↑,✓,+0.11%,0.9824
2024-12-03,1526.74,涨↑,57.7,跌↓,✗,-0.44%,0.9781
2024-12-04,1520.0,涨↑,53.7,跌↓,✗,-0.59%,0.9723
2024-12-05,1511.0,涨↑,61.2,涨↑,✓,+0.66%,0.9787
2024-12-06,1521.01,涨↑,55.9,跌↓,✗,-0.15%,0.9773
2024-12-09,1518.8,涨↑,55.7,涨↑,✓,+1.83%,0.9952
2024-12-10,1546.59,涨↑,50.9,跌↓,✗,-0.71%,0.9881
2024-12-11,1535.6,涨↑,65.2,涨↑,✓,+1.97%,1.0075
2024-12-12,1565.8,跌↓,47.0,跌↓,✓,-2.99%,1.0075
2024-12-13,1519.0,跌↓,44.5,涨↑,✗,+0.54%,1.0075
2024-12-16,1527.2,跌↓,39.9,涨↑,✗,+2.02%,1.0075
2024-12-17,1558.0,跌↓,40.3,涨↑,✗,+0.87%,1.0075
2024-12-18,1571.5,跌↓,38.5,跌↓,✓,-1.30%,1.0075
2024-12-19,1551.01,跌↓,35.3,跌↓,✓,-1.87%,1.0075
2024-12-20,1522.0,跌↓,39.3,涨↑,✗,+0.29%,1.0075
2024-12-23,1526.45,跌↓,46.6,涨↑,✗,+0.81%,1.0075
2024-12-24,1538.82,跌↓,44.4,跌↓,✓,-0.57%,1.0075
2024-11-27,1519.05,涨↑,55.3,跌↓,✗,-0.07%,1.0068
2024-11-28,1518.0,跌↓,51.6,涨↑,✗,+0.51%,1.0068
2024-11-29,1525.74,涨↑,61.4,跌↓,✗,-0.05%,1.0063
2024-12-02,1525.0,涨↑,67.7,涨↑,✓,+0.11%,1.0075
2024-12-03,1526.74,涨↑,59.2,跌↓,✗,-0.44%,1.003
2024-12-04,1520.0,涨↑,56.7,跌↓,✗,-0.59%,0.9971
2024-12-05,1511.0,涨↑,59.5,涨↑,✓,+0.66%,1.0037
2024-12-06,1521.01,涨↑,54.8,跌↓,✗,-0.15%,1.0023
2024-12-09,1518.8,涨↑,54.2,涨↑,✓,+1.83%,1.0206
2024-12-10,1546.59,跌↓,50.3,跌↓,✓,-0.71%,1.0206
2024-12-11,1535.6,涨↑,64.0,涨↑,✓,+1.97%,1.0407
2024-12-12,1565.8,跌↓,44.2,跌↓,✓,-2.99%,1.0407
2024-12-13,1519.0,跌↓,43.0,涨↑,✗,+0.54%,1.0407
2024-12-16,1527.2,跌↓,35.5,涨↑,✗,+2.02%,1.0407
2024-12-17,1558.0,跌↓,38.1,涨↑,✗,+0.87%,1.0407
2024-12-18,1571.5,跌↓,31.9,跌↓,✓,-1.30%,1.0407
2024-12-19,1551.01,跌↓,30.5,跌↓,✓,-1.87%,1.0407
2024-12-20,1522.0,跌↓,35.5,涨↑,✗,+0.29%,1.0407
2024-12-23,1526.45,跌↓,35.9,涨↑,✗,+0.81%,1.0407
2024-12-24,1538.82,跌↓,37.6,跌↓,✓,-0.57%,1.0407
2024-12-25,1530.0,跌↓,49.6,跌↓,✓,-0.14%,1.0407
2024-12-26,1527.79,跌↓,53.3,涨↑,✗,+0.08%,1.0407
2024-12-27,1528.97,跌↓,48.3,跌↓,✓,-0.26%,1.0407
2024-12-30,1525.0,涨↑,55.5,跌↓,✗,-0.07%,1.04
2024-12-31,1524.0,涨↑,56.6,跌↓,✗,-2.36%,1.0154
2025-01-02,1488.0,跌↓,46.9,跌↓,✓,-0.87%,1.0154
2025-01-03,1475.0,跌↓,46.8,跌↓,✓,-2.37%,1.0154
2025-01-06,1440.0,涨↑,57.5,涨↑,✓,+0.01%,1.0156
2025-01-07,1440.2,跌↓,42.4,涨↑,✗,+0.16%,1.0156
2025-01-08,1442.5,跌↓,39.2,涨↑,✗,+0.10%,1.0156
2024-12-11,1535.6,涨↑,62.1,涨↑,✓,+1.97%,1.0355
2024-12-12,1565.8,跌↓,39.0,跌↓,✓,-2.99%,1.0355
2024-12-13,1519.0,跌↓,45.1,涨↑,✗,+0.54%,1.0355
2024-12-16,1527.2,跌↓,33.6,涨↑,✗,+2.02%,1.0355
2024-12-17,1558.0,跌↓,38.9,涨↑,✗,+0.87%,1.0355
2024-12-18,1571.5,跌↓,35.4,跌↓,✓,-1.30%,1.0355
2024-12-19,1551.01,跌↓,30.7,跌↓,✓,-1.87%,1.0355
2024-12-20,1522.0,跌↓,36.3,涨↑,✗,+0.29%,1.0355
2024-12-23,1526.45,跌↓,36.3,涨↑,✗,+0.81%,1.0355
2024-12-24,1538.82,跌↓,37.4,跌↓,✓,-0.57%,1.0355
2024-12-25,1530.0,跌↓,49.1,跌↓,✓,-0.14%,1.0355
2024-12-26,1527.79,跌↓,51.2,涨↑,✗,+0.08%,1.0355
2024-12-27,1528.97,跌↓,48.6,跌↓,✓,-0.26%,1.0355
2024-12-30,1525.0,跌↓,52.9,跌↓,✓,-0.07%,1.0355
2024-12-31,1524.0,涨↑,56.6,跌↓,✗,-2.36%,1.0111
2025-01-02,1488.0,跌↓,47.5,跌↓,✓,-0.87%,1.0111
2025-01-03,1475.0,跌↓,47.3,跌↓,✓,-2.37%,1.0111
2025-01-06,1440.0,跌↓,54.0,涨↑,✗,+0.01%,1.0111
2025-01-07,1440.2,跌↓,42.3,涨↑,✗,+0.16%,1.0111
2025-01-08,1442.5,跌↓,38.0,涨↑,✗,+0.10%,1.0111
