date,close,predict,prob_up,real,correct,ret,equity
2025-02-25,26.27,涨↑,57.3,涨↑,✓,+0.57%,0.5029
2025-02-26,26.42,跌↓,48.8,跌↓,✓,-0.95%,0.5029
2025-02-27,26.17,涨↑,57.3,跌↓,✗,-1.99%,0.4929
2025-02-28,25.65,涨↑,64.9,跌↓,✗,-0.39%,0.491
2025-03-03,25.55,涨↑,58.6,涨↑,✓,+3.13%,0.5063
2025-03-04,26.35,跌↓,41.0,跌↓,✓,-1.25%,0.5063
2025-03-05,26.02,涨↑,54.2,涨↑,✓,+0.15%,0.5071
2025-03-06,26.06,跌↓,44.0,涨↑,✗,+1.69%,0.5071
2025-03-07,26.5,跌↓,44.9,涨↑,✗,+0.53%,0.5071
2025-03-10,26.64,涨↑,54.8,涨↑,✓,+9.98%,0.5577
2025-03-11,29.3,跌↓,46.0,跌↓,✓,-2.70%,0.5577
2025-03-12,28.51,涨↑,52.7,跌↓,✗,-0.67%,0.554
2025-03-13,28.32,涨↑,53.2,跌↓,✗,-0.11%,0.5534
2025-02-14,27.66,涨↑,50.7,跌↓,✗,-2.53%,0.5394
2025-02-17,26.96,涨↑,57.5,跌↓,✗,-1.11%,0.5334
2025-02-18,26.66,涨↑,55.4,涨↑,✓,+1.69%,0.5424
2025-02-19,27.11,涨↑,58.4,跌↓,✗,-1.99%,0.5316
2025-02-20,26.57,涨↑,58.0,涨↑,✓,+1.24%,0.5382
2025-02-21,26.9,跌↓,49.2,涨↑,✗,+0.82%,0.5382
2025-02-24,27.12,涨↑,50.5,跌↓,✗,-3.13%,0.5214
2025-02-25,26.27,涨↑,53.0,涨↑,✓,+0.57%,0.5243
2025-02-26,26.42,涨↑,54.1,跌↓,✗,-0.95%,0.5194
2025-02-27,26.17,涨↑,59.7,跌↓,✗,-1.99%,0.5091
2025-02-28,25.65,涨↑,63.7,跌↓,✗,-0.39%,0.5071
2025-03-03,25.55,涨↑,53.7,涨↑,✓,+3.13%,0.5229
2025-03-04,26.35,跌↓,45.2,跌↓,✓,-1.25%,0.5229
2025-03-05,26.02,涨↑,54.3,涨↑,✓,+0.15%,0.5238
2025-03-06,26.06,跌↓,45.7,涨↑,✗,+1.69%,0.5238
2025-03-07,26.5,跌↓,45.3,涨↑,✗,+0.53%,0.5238
2025-03-10,26.64,涨↑,54.5,涨↑,✓,+9.98%,0.576
2025-03-11,29.3,涨↑,50.4,跌↓,✗,-2.70%,0.5605
2025-03-12,28.51,涨↑,53.6,跌↓,✗,-0.67%,0.5568
2025-03-13,28.32,涨↑,50.9,跌↓,✗,-0.11%,0.5562
2025-03-14,28.29,涨↑,54.1,涨↑,✓,+4.21%,0.5796
2025-03-17,29.48,涨↑,52.4,跌↓,✗,-0.51%,0.5766
2025-03-18,29.33,跌↓,45.3,跌↓,✓,-0.51%,0.5766
2025-03-19,29.18,跌↓,48.7,跌↓,✓,-1.47%,0.5766
2025-03-20,28.75,涨↑,53.0,跌↓,✗,-1.36%,0.5688
2025-03-21,28.36,跌↓,43.6,涨↑,✗,+2.75%,0.5688
2025-03-24,29.14,跌↓,41.7,涨↑,✗,+2.47%,0.5688
