板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
其他专用设备,300499,高澜股份,5.67,+4.77%,17.223,15.82,243.9
其他专用设备,688630,芯碁微装,4.0,-2.63%,15.583,4.91,243.9
其他专用设备,301128,强瑞技术,9.54,-1.84%,12.465,8.37,243.9
其他专用设备,688700,东威科技,7.22,+0.58%,9.389,5.21,243.9
逆变器,300274,阳光电源,5.57,+2.64%,113.826,5.35,242.0
逆变器,605117,德业股份,11.71,+5.26%,62.320,4.63,242.0
逆变器,300763,锦浪科技,4.62,+1.40%,20.104,6.56,242.0
逆变器,300827,上能电气,3.57,+0.71%,11.355,7.75,242.0
逆变器,688717,艾罗能源,10.89,+2.97%,11.099,9.2,242.0
建筑材料,301526,国际复材,19.41,+16.04%,45.775,22.92,240.8
建筑材料,600176,中国巨石,10.69,+10.00%,37.685,3.02,240.8
建筑材料,002080,中材科技,11.28,+10.00%,31.128,3.81,240.8
建筑材料,603256,宏和科技,10.3,+10.00%,15.829,2.07,240.8
建筑材料,605006,山东玻纤,10.77,+4.55%,9.884,15.77,240.8
通信服务,300442,润泽科技,6.92,+2.50%,48.715,3.37,232.0
通信服务,002467,二六三,12.31,+10.07%,27.313,26.06,232.0
通信服务,603881,数据港,4.72,+0.88%,25.844,8.96,232.0
通信服务,300383,光环新网,6.34,+2.33%,25.827,8.21,232.0
通信服务,300738,奥飞数据,4.84,+2.40%,14.764,6.55,232.0
塑料,002361,神剑股份,7.28,+1.27%,48.141,35.44,231.8
塑料,002263,大东南,8.37,+1.84%,31.046,33.21,231.8
塑料,601208,东材科技,5.93,+3.70%,20.853,5.95,231.8
塑料,605589,圣泉集团,4.9,+2.74%,15.221,4.83,231.8
塑料,000973,佛塑科技,9.27,+6.84%,11.880,6.54,231.8
农林牧渔,000592,平潭发展,7.61,+2.27%,46.152,20.07,230.2
农林牧渔,002714,牧原股份,4.3,+2.70%,22.439,1.34,230.2
农林牧渔,300498,温氏股份,3.88,+1.88%,8.590,0.86,230.2
农林牧渔,002157,正邦科技,4.23,+3.26%,7.125,3.12,230.2
农林牧渔,600127,金健米业,6.31,+2.74%,6.707,13.85,230.2
航空装备Ⅲ,300395,菲利华,9.14,+7.67%,46.816,8.49,229.1
航空装备Ⅲ,301696,C三瑞,20.65,+28.80%,23.744,70.95,229.1
航空装备Ⅲ,600760,中航沈飞,6.77,+6.08%,22.608,1.58,229.1
航空装备Ⅲ,600893,航发动力,2.91,-0.08%,13.655,1.0,229.1
航空装备Ⅲ,002625,光启技术,2.75,-0.39%,8.887,1.07,229.1
航空装备Ⅱ,300395,菲利华,9.14,+7.67%,46.816,8.49,229.1
航空装备Ⅱ,301696,C三瑞,20.65,+28.80%,23.744,70.95,229.1
航空装备Ⅱ,600760,中航沈飞,6.77,+6.08%,22.608,1.58,229.1
航空装备Ⅱ,600893,航发动力,2.91,-0.08%,13.655,1.0,229.1
航空装备Ⅱ,002625,光启技术,2.75,-0.39%,8.887,1.07,229.1
食品饮料,600519,贵州茅台,0.93,-0.73%,36.297,0.2,227.8
食品饮料,000858,五 粮 液,1.34,+0.34%,12.471,0.32,227.8
食品饮料,603777,来伊份,8.84,-0.41%,11.724,20.72,227.8
食品饮料,600186,莲花控股,2.96,-0.27%,11.016,8.38,227.8
食品饮料,600809,山西汾酒,2.3,-2.25%,10.503,0.63,227.8
农化制品,000792,盐湖股份,5.0,+3.07%,40.733,2.03,217.9
农化制品,600096,云天化,2.87,-0.54%,14.817,2.45,217.9
农化制品,600331,宏达股份,6.22,-5.53%,14.057,4.52,217.9
农化制品,000408,藏格矿业,2.07,-0.91%,10.422,0.8,217.9
农化制品,600426,华鲁恒升,4.98,+1.05%,8.534,1.05,217.9
家用电器,300342,天银机电,5.4,-2.74%,27.915,12.27,216.1
家用电器,002050,三花智控,1.63,-0.94%,26.861,1.64,216.1
家用电器,000333,美的集团,1.16,-0.82%,13.848,0.27,216.1
家用电器,002418,康盛股份,6.68,+10.02%,11.468,16.28,216.1
家用电器,002429,兆驰股份,3.42,+1.37%,9.592,2.05,216.1
环保,603588,高能环境,5.72,-3.55%,20.197,8.18,215.1
环保,000967,盈峰环境,6.35,+3.81%,19.012,5.66,215.1
环保,002645,华宏科技,6.63,-2.95%,12.692,10.65,215.1
环保,603200,上海洗霸,2.95,+0.96%,9.400,8.64,215.1
环保,000890,法尔胜,4.64,-7.46%,8.451,15.55,215.1
医疗器械,002432,九安医疗,6.33,-7.35%,33.975,8.85,211.2
医疗器械,300677,英科医疗,6.17,-1.88%,10.281,3.88,211.2
医疗器械,301093,华兰股份,15.59,-14.25%,10.040,8.26,211.2
医疗器械,300760,迈瑞医疗,1.97,-0.15%,9.464,0.49,211.2
医疗器械,002950,奥美医疗,10.1,+7.60%,9.011,14.06,211.2
